species	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
alkaliphilus metalliredigens	0.0058477822285898073155755700	0.0029388426837511388015399500	0	0	0.3199841657320050141848650800	0	0.0059619626781136350086448500	0	0.0781954887218045112781954900	0.1462599247806101128290848300	0.0089216677570927258668887200	0	0	0.0064065603177653917611634300	0.0029715915844526328301438300	0	0.140800	0	0	1.3772853856399079791742341700	0	0
empedobacter brevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384478883236720690878977900	0	0	0	0
corynebacterium tuberculostearicum	0	0	0	0.0206246317030053034767236300	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017745179226310185732875900	0	0	0.0147462175951868345769310200	0
leptotrichia wadei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619341138997847052231102700	0
algicola bacteriolytica	0	0.0176330561025068328092397200	0	0	0.0032988058322887114864419100	0.0117584808042800870127579500	0	0.0088391278727165586328815600	0.0210526315789473684210526300	0	0.0059477785047284839112591400	0.0146062164057022668847861600	0	0	0	0.0058813150620478739046050700	0	0	0	0	0	0
endozoicomonas elysicola	0	0	0.0351968088226667448817973800	0.0559811431938715380082498500	0	0.0881886060321006525956846400	0	0.2828520919269298762522097800	0.048120300751879699248120300	0	0	0	0.0436427116671515856851905700	0	0	0.0529318355584308651414456300	0.006400	0.0621081272920856500650656600	0	0	0	0
thalassomonas sediminis	0.4912137072015438145083477100	0.0587768536750227760307990700	0	0.0500883912787271655863288200	0.0065976116645774229728838200	0.0117584808042800870127579500	0.0029809813390568175043224200	0	0.0902255639097744360902255600	0.0029848964240940839352874500	0.1843811336465830012490334900	0.5784061696658097686375321300	0	0	0	0.1323295888960771628536140700	37.331200	0	0.103580941106836342113051200	0	0	0
bacillus subtilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.632075471698113207547169810
candidatus thioglobus singularis	0	0	0	0.0530347672362993517972893300	0	0.0676112646246105003233582200	0	0	0	0	0	0	0	0	0	0	0	0	0.3847292098253921278484758800	0	0	0
marinobacterium jannaschii	0.0058477822285898073155755700	0.0146942134187556940076997700	0	0.0147318797878609310548025900	0.3067889424028501682390974500	0.097007466635310717855253100	0	0	0.1954887218045112781954887200	0.0149244821204704196764372300	0.505561172901921132457027300	0.0788735685907922411778452900	0	0.2146197706451406239989749500	0.0029715915844526328301438300	0	1.539200	0	0.1657295057709381473808819200	0.0030270008475602373168664500	0	0
blastopirellula marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295752987105169762214598400	0	0	0	0
maricurvus nonylphenolicus	0.0116955644571796146311511400	0.0029388426837511388015399500	0	0.0147318797878609310548025900	0.0296892524905984033779771700	0	0	0	0	0	0.0059477785047284839112591400	0	0	0.0896918444487154846562880400	0	0	0.156800	0	0.0266350991417579165433560200	0	0	0
microbulbifer maritimus	0	0	0	0	0	0	0	0.0824985268120212139068945200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thalassobius aestuarii	0.0087716733428847109733633500	0.0470214829400182208246392600	0	0	0.0230916408260209804050933600	0.0293962020107002175318948800	0	0	0.0120300751879699248120300800	0	0.0029738892523642419556295700	0.0029212432811404533769572300	0	0.0128131206355307835223268600	0	0.008821972593071810856907600	0.012800	0	0	0	0	0
xanthomonas vesicatoria	0	0.0029388426837511388015399500	0	0	0	0	0	0.0294637595757218621096051900	0	0	0.0029738892523642419556295700	0.0116849731245618135078289300	0.0029095141111434390456793700	0	0	0.0029406575310239369523025300	0	0	0	0	0	0
planifilum fimeticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0799052974252737496300680700	0	0	0
spirulina subsalsa	0	0	0.0645274828415556989499618700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
desulforhopalus singaporensis	0	0	0.0498621458321112219158796300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
parvularcula oceani	0	0	0.0469290784302223265090631800	0	0	0	0	0	0	0	0	0	0	0.470882183355756294445512200	0	0	0	0	0	0	0	0
fulvivirga kasyanovii	0	0	0.0469290784302223265090631800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aestuariivita rhodobacteraceae bacterium	0.0087716733428847109733633500	0	0	0	0	0.0088188606032100652595684600	0	0	0.0150375939849624060150375900	0	0.0059477785047284839112591400	0.0116849731245618135078289300	0	0	0	0	0.025600	0	0	0	0	0
halomicronema metazoicum	0	0	0.114389628673666920865841500	0	0	0	0	0	0	0	0	0	0	4.0169133192389006342494714600	0	0	0	0	0	0	0	0
loktanella agnita	0	0.0852264378287830252446586500	0	0	0	0.0470339232171203480510318100	0	0.1001767825574543311726576300	0	0	0	0	0	0	0	0.1058636711168617302828912500	0	0	0	0	0	0
delftia tsuruhatensis	0	0	0.0029330674018888954068164500	0.0265173836181496758986446700	0.0032988058322887114864419100	0.0088188606032100652595684600	0	0	0	0	0.0029738892523642419556295700	0.0058424865622809067539144700	0	0.0064065603177653917611634300	0	0.0411692054343351173322354900	0.009600	0	0.0799052974252737496300680700	0	0.7019199575308933258619164200	0
pseudohaliea haliea rubra	0.0058477822285898073155755700	0	0.0381298762245556402886138300	0	0	0	0	0	0	0	0	0	0	1.1820103786277147799346530800	0	0	0	0	0	0	0	0
prosthecobacter debontii	0	0	0	0	0	0	0	0.0500883912787271655863288200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thalassotalea thalassomonas loyana	0.1403467734861553755738136300	0.3262115378963764069709348500	0	0.1090159104301708898055391900	0.4849244573464405885069604800	0.511493914986183785054970900	0.0149049066952840875216121100	0	1.2150375939849624060150375900	0.032833860665034923288161900	3.8273954677927793968952596200	0.1548258939004440289787333500	0	0.0512524825421231340893074500	0.0059431831689052656602876500	0	17.622400	0	0.0947025747262503699319325200	0.0211890059329216612180651400	0	0
teredinibacter turnerae	0	0	0	0	0.0164940291614435574322095400	0.0088188606032100652595684600	0	0	0	0	0.0356866710283709034675548700	0.0438186492171068006543584900	0	0	0	0	0.09600	0	0	0	0	0
