#OTU ID	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F
Zotu294	0	3	0	1	2	2	0	0	1	0	2	0	0	0	0	0	20	0	0	0	0	0
Zotu94	0	3	0	6	29	15	0	0	50	1	45	4	0	24	1	0	79	0	0	2	0	0
Zotu313	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	26	0	0	0	0
Zotu373	0	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu381	0	2	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
Zotu339	0	1	0	0	0	0	0	10	0	0	1	4	1	0	0	1	0	0	0	0	0	0
Zotu15	0	2	0	6	274	1	1863	0	7	614	1	0	0	10	102	0	363	0	4	928	0	0
Zotu31	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1671
Zotu39	0	2	0	5	90	0	353	0	2	443	0	2	0	0	98	0	81	0	0	118	0	0
Zotu130	0	2	0	0	1	11	0	0	21	1	35	0	0	0	0	0	99	0	0	0	0	0
Zotu93	0	1	0	0	5	0	157	0	0	83	0	0	0	0	6	0	0	0	0	6	0	0
Zotu152	0	1	0	0	11	16	1	0	0	2	1	4	0	2	0	0	57	0	0	2	0	0
Zotu11	0	0	204	1522	0	374	0	224	288	34	167	2254	0	92	2	0	0	0	1	0	0	0
Zotu362	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu272	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu241	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu34	0	0	31	0	0	0	0	89	0	0	0	0	0	0	0	0	0	1565	0	0	0	0
Zotu325	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu310	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu395	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu163	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu139	0	0	6	0	0	16	0	84	11	0	0	0	13	0	0	14	2	0	0	0	0	0
Zotu343	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu124	0	0	16	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0
Zotu237	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	37	0	0	0
Zotu244	0	0	6	2	0	11	0	12	0	0	0	0	2	0	0	4	0	1	0	0	0	0
Zotu18	0	0	7	2740	0	47	0	0	0	0	0	0	72	1143	4	0	17	96	0	0	0	0
Zotu256	0	0	1	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
Zotu201	0	0	3	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0
Zotu314	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
Zotu156	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	104	0
Zotu309	0	0	1	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0
Zotu364	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	24	0	0	0	0
Zotu86	0	0	1	9	1	3	0	0	0	0	1	2	0	2	0	14	3	0	27	0	238	0
Zotu322	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0
Zotu221	0	0	0	17	0	3	0	0	5	0	0	0	0	0	0	0	0	20	0	0	0	0
Zotu344	0	0	0	5	0	0	0	2	0	0	1	0	0	0	0	4	0	12	2	0	0	0
Zotu204	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	54	0	0	0
Zotu352	0	0	0	10	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu103	0	0	0	18	0	0	0	2	0	0	1	0	0	1	0	16	11	67	31	0	107	0
Zotu123	0	0	0	18	0	23	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0
Zotu70	0	0	0	7	161	5	0	0	64	0	9	0	0	106	0	0	1	0	7	0	0	0
Zotu328	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0
Zotu114	0	0	0	7	128	3	0	0	36	0	11	1	0	55	0	0	0	0	5	0	0	0
Zotu63	0	0	0	4	16	1	40	0	0	285	0	0	0	0	0	0	5	0	0	17	0	0
Zotu318	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0
Zotu251	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0
Zotu117	0	0	0	5	26	0	0	0	31	0	0	0	0	90	0	0	0	0	0	0	0	0
Zotu393	0	0	0	7	1	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Zotu385	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	8	4	0	0	0
Zotu369	0	0	0	7	1	0	1	4	3	0	0	0	0	0	0	0	7	0	0	0	0	0
Zotu102	0	0	0	3	1	0	0	0	6	0	4	0	0	0	0	0	165	0	47	0	0	0
Zotu317	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
Zotu209	0	0	0	3	3	0	55	0	0	2	0	0	0	0	0	0	0	0	0	22	0	0
Zotu149	0	0	0	5	28	8	0	0	41	1	0	0	0	31	0	0	1	0	0	0	0	0
Zotu199	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0
Zotu46	0	0	0	0	843	5	2	0	0	85	0	0	0	5	3	0	6	0	0	127	0	0
Zotu14	0	0	0	0	111	0	86	0	0	1297	0	0	0	0	1279	0	29	0	0	1058	0	0
Zotu215	0	0	0	0	115	0	0	0	2	20	0	0	0	8	119	0	0	0	0	49	0	0
Zotu21	0	0	0	0	203	0	205	0	1	1023	0	0	0	0	643	0	25	0	0	731	0	0
Zotu292	0	0	0	0	17	0	0	0	0	4	0	0	0	0	0	0	0	0	0	72	0	0
Zotu169	0	0	0	0	34	0	0	0	0	27	0	0	0	0	0	0	1	0	0	30	0	0
Zotu76	0	0	0	0	173	0	1	0	0	86	0	0	0	0	0	0	1	0	0	131	0	0
Zotu249	0	0	0	0	2	0	0	0	0	0	7	0	0	9	0	0	10	0	0	0	0	0
Zotu308	0	0	0	0	22	0	1	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0
Zotu190	0	0	0	0	33	0	1	0	0	20	3	0	0	0	0	0	9	0	0	13	0	0
Zotu341	0	0	0	0	31	0	0	0	2	7	0	0	0	0	36	0	0	0	0	12	0	0
Zotu42	0	0	0	0	4	0	11	0	0	408	0	0	0	0	346	0	3	0	0	304	0	0
Zotu227	0	0	0	0	7	6	0	0	0	17	0	0	0	0	0	8	0	0	0	0	0	0
Zotu33	0	0	0	0	63	0	3	0	0	627	0	0	0	1	641	0	10	0	0	569	0	0
Zotu111	0	0	0	0	108	7	0	0	0	42	0	0	0	5	42	0	0	0	0	15	0	0
Zotu67	0	0	0	0	60	0	2	0	0	231	0	0	0	0	106	0	7	0	0	142	0	0
Zotu20	0	0	0	0	81	0	3	0	0	975	0	0	0	0	937	0	28	0	0	840	0	0
Zotu217	0	0	0	0	11	0	0	0	0	35	0	0	0	0	2	0	0	0	0	45	0	0
Zotu175	0	0	0	0	39	0	0	0	15	3	0	0	0	21	0	0	20	0	0	1	0	0
Zotu146	0	0	0	0	23	6	0	0	40	2	11	0	0	0	0	11	107	0	0	0	0	0
Zotu197	0	0	0	0	11	0	0	0	0	15	0	0	0	0	17	0	0	0	0	5	0	0
Zotu144	0	0	0	0	42	3	6	0	0	33	0	0	0	1	0	0	0	0	0	34	0	0
Zotu32	0	0	0	0	51	0	22	0	0	667	0	0	0	0	589	0	16	0	0	520	0	0
Zotu238	0	0	0	0	10	0	9	0	0	5	0	0	0	0	0	0	0	0	0	22	0	0
Zotu143	0	0	0	0	72	0	1	0	0	34	0	0	0	0	0	0	0	0	0	53	0	0
Zotu179	0	0	0	0	22	0	1	0	0	24	0	0	0	0	41	0	0	0	0	12	0	0
Zotu389	0	0	0	0	5	2	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0
Zotu99	0	0	0	0	9	0	105	0	0	57	0	0	0	0	3	0	5	0	0	21	0	0
Zotu118	0	0	0	0	64	0	1	0	0	36	0	0	0	0	1	0	0	0	0	54	0	0
Zotu222	0	0	0	0	19	0	5	0	0	1	0	0	0	0	0	0	0	0	0	48	0	0
Zotu259	0	0	0	0	5	8	0	0	0	0	21	6	0	2	9	0	0	0	0	1	0	0
Zotu330	0	0	0	0	8	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu180	0	0	0	0	3	0	9	0	0	41	0	0	0	0	5	0	15	0	0	13	0	0
Zotu50	0	0	0	0	19	0	71	0	0	363	0	0	0	1	274	0	9	0	0	234	0	0
Zotu387	0	0	0	0	8	3	0	0	1	0	5	1	0	6	0	0	1	0	0	0	0	0
Zotu17	0	0	0	0	1	0	295	0	0	55	0	0	0	0	3265	0	0	0	0	3	0	0
Zotu172	0	0	0	0	11	4	0	0	29	1	32	0	0	21	0	0	0	0	0	1	0	0
Zotu84	0	0	0	0	19	0	14	0	0	111	0	0	0	0	63	0	0	0	0	64	0	0
Zotu340	0	0	0	0	9	0	0	0	0	1	0	0	0	9	0	0	2	0	0	0	0	0
Zotu165	0	0	0	0	11	0	0	0	0	27	0	0	0	0	0	0	0	0	0	49	0	0
Zotu388	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	12	0	0
Zotu126	0	0	0	0	8	0	89	0	0	1	2	0	0	0	0	0	0	0	0	52	0	0
Zotu38	0	0	0	0	9	2	9	0	1	532	2	1	0	21	307	2	3	0	0	374	0	0
Zotu356	0	0	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu113	0	0	0	0	3	0	89	0	0	33	0	0	0	0	5	0	12	1	0	15	0	0
Zotu282	0	0	0	0	6	0	0	0	11	0	3	0	0	5	0	0	0	0	0	0	0	0
Zotu207	0	0	0	0	8	0	25	0	1	9	0	0	0	0	0	0	1	0	0	1	0	0
Zotu192	0	0	0	0	5	3	0	0	0	0	12	15	0	0	0	0	30	0	0	0	0	0
Zotu239	0	0	0	0	6	2	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
Zotu291	0	0	0	0	2	0	2	0	0	59	0	0	0	0	0	0	0	0	0	9	0	0
Zotu71	0	0	0	0	3	0	5	0	0	124	0	0	0	0	86	0	0	0	0	88	0	0
Zotu203	0	0	0	0	2	0	1	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0
Zotu332	0	0	0	0	7	7	1	0	0	0	4	1	0	0	0	0	9	0	0	0	0	0
Zotu300	0	0	0	0	4	0	0	0	0	8	0	0	0	0	7	0	0	0	0	3	0	0
Zotu80	0	0	0	0	5	0	42	0	0	228	0	0	0	0	0	0	0	0	0	21	0	0
Zotu120	0	0	0	0	3	0	11	0	0	63	0	0	0	0	72	0	3	0	0	54	0	0
Zotu348	0	0	0	0	5	0	1	0	0	3	0	3	0	0	0	0	4	0	0	9	0	0
Zotu82	0	0	0	0	3	0	14	0	0	100	0	0	0	0	129	0	1	0	0	73	0	0
Zotu304	0	0	0	0	1	0	42	0	0	8	0	0	0	0	1	0	3	0	0	0	0	0
Zotu212	0	0	0	0	1	0	1	0	0	51	0	0	0	0	0	0	0	0	0	4	0	0
Zotu155	0	0	0	0	1	0	77	0	0	15	0	0	0	0	2	0	1	0	0	1	1	0
Zotu243	0	0	0	0	2	0	22	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0
Zotu231	0	0	0	0	1	0	4	0	0	39	0	0	0	0	11	0	0	0	0	2	0	0
Zotu211	0	0	0	0	0	8	0	36	5	0	0	0	5	0	0	4	0	4	5	0	0	0
Zotu236	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	30	0	0	0	0	0
Zotu279	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	17	0	0	0	0	0
Zotu361	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Zotu223	0	0	0	0	0	4	0	0	0	0	11	0	0	0	0	0	36	0	0	0	0	0
Zotu327	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0
Zotu187	0	0	0	0	0	8	0	0	0	0	19	4	0	0	0	0	44	0	0	0	0	0
Zotu49	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	20	743
Zotu23	0	0	0	0	0	0	2051	0	0	0	0	0	0	0	11	0	0	0	0	394	0	0
Zotu28	0	0	0	0	0	0	1389	0	9	0	0	0	0	0	8	0	0	0	0	354	0	0
Zotu24	0	0	0	0	0	0	2143	0	0	0	0	0	0	0	13	0	0	0	0	438	0	0
Zotu206	0	0	0	0	0	0	26	0	0	16	0	0	0	0	6	0	1	0	0	5	0	0
Zotu377	0	0	0	0	0	0	183	0	0	13	0	0	0	0	332	0	0	0	0	260	0	0
Zotu355	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
Zotu353	0	0	0	0	0	0	3	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0
